10857472334.1124	11440174930.6682	12344309224.6839	13247977513.7110	14019439194.6390	14882631441.4025	15769810667.2759
13251475221.8861	13828131919.1791	14485419747.1549	15150068552.4300	15894045205.3867	16667133482.9373	17431128243.2367
17356045970.6420	17871129542.4423	18396260316.4917	18946253495.5544	19469294951.9345	20049991012.7810	20649548903.3003
14776314473.1066	15309408988.1412	15854909832.5390	16349851292.1332	16874229610.0765	17483686679.1673	18150437542.2415
18433273320.5873	18968238587.7369	19457656951.7529	19924048130.0708	20401358284.4372	20929664548.2636	21500394333.1439
15943361495.6666	16895185860.5591	17817886387.1520	18745302263.3402	19663940938.8290	20559638654.7675	21441186952.3608
17090342787.7690	17710320516.9121	18310971558.2470	18929344422.8083	19547670800.2764	20189552184.0309	20842834040.9856
16806788429.9165	17348198966.3074	17889546992.6322	18457151588.4885	19023387299.4534	19632089734.3734	20225102901.9790
15531194903.6104	16089630273.6741	16667241909.9055	17230954619.2580	17810650905.9477	18397649924.6733	18979014984.4179
13312109441.2171	13726668847.6997	14298092604.9686	14985640392.7276	15661655994.2800	16386794772.6900	17090182344.0708
13743941332.2309	14549040668.9652	15258114748.5084	16068456441.5341	16881084472.0269	17675852408.4553	18562334957.1993
14523409591.6059	15079139183.6435	15658860917.6958	16235750066.6647	16843548750.7202	17467177854.1955	18160164010.6653
12532721953.2201	13132705187.1924	13658829357.0448	14116791693.4736	14831989531.1246	15537181786.6963	16229135508.9561
11113213221.9379	11518149005.4563	12007244890.2513	12695477871.4225	13411904003.5239	14136525368.4602	14825420754.0951
10781013946.3998	10937136131.6645	11200726831.9749	11772229576.9784	12480907036.3363	13197074719.4943	13888906114.7887
11183925484.0513	11998826047.1009	12967431115.3365	13919735511.9602	14900141076.3866	15880778698.0176	16847540003.7676
11869886591.3400	12428632081.1408	13057202304.0421	13739768514.7978	14518297203.4030	15299881072.2651	16060479726.1526
13802854798.7718	14311090269.2660	14797267872.8120	15361441409.1480	15945794157.4657	16627092205.3103	17309978060.4649
13386163326.6443	13913925091.0432	14435897431.5371	14967038016.0574	15530406126.4008	16169697613.5094	16819461072.7007
11160224684.0566	11697625284.7359	12324935494.6951	13177020937.9615	13948048129.5594	14734857663.4125	15574325878.8667
10718135843.8545	11384323537.1196	12087128440.1914	12855810791.9275	13644410280.8642	14432729406.2702	15195087733.7109
12043772775.3262	12447264960.9548	13022289673.2827	13728028987.3827	14459046691.0120	15199209601.0327	15925624145.3220
11868613062.3206	12382462983.9695	12820389517.7644	13399912074.2400	14118590612.3624	14843726793.1549	15546569962.5277
11175440021.7367	11560789418.9670	12168712238.3104	12815088425.9063	13532499088.6270	14263715908.6673	14975825714.7651
12977994564.4889	13867300890.4273	14799476645.6736	15717950452.9849	16597340124.6418	17409144621.4716	18222515722.3947
10815287439.6252	11383489478.8806	12073765251.9400	12817239122.7098	13590292064.7908	14371040673.8475	15113305763.2082
10962483596.7349	11381642177.5243	11958935754.8743	12568484558.7868	13273612522.7695	14003098358.6972	14701805393.5552
8735879559.87848	8946457044.26666	9318896196.97002	9969240332.58910	10741797947.9652	11510767252.1007	12219579063.7457
9353748714.79915	9758961868.15249	10401743807.6014	11158778006.9300	11928428621.2992	12699813752.7722	13415800649.5221
11980069924.3177	12664345186.7614	13536088876.0454	14401893978.6801	15262352679.9297	16071687077.2582	16839365365.0846
9116720919.11046	9500361539.41942	10119855457.2420	10876154119.6679	11676951179.0778	12471661030.8475	13213962436.6205
9565584503.93757	9707563330.13061	10185760968.0726	10848965858.8299	11598379242.7619	12354695368.5511	13074207579.6342
10602892936.3091	11061446535.8521	11694892086.6485	12421054541.7540	13158879064.3540	13905521663.2694	14620041981.8016
9406525465.95064	9521693859.74075	9886028606.78305	10479120820.5134	11207695278.3793	11949595507.9281	12667026489.8899
7964784110.05740	8220657538.13681	8568640865.75795	9021160121.46121	9618325958.21605	10359079697.9168	11189550225.4612
9719148964.07399	10132473818.3506	10834937181.1795	11602494567.6927	12387876094.0468	13177213895.8905	13929349055.3812
8869818182.10452	8905002556.43834	9151192225.12345	9472017692.13438	9911389348.74155	10556951718.5870	11285889925.7201
7921004311.27749	7901016192.38227	7961453588.02860	8027146298.27820	8134472658.12282	8313624983.82273	8611951074.41665
7511348193.90768	7611887104.37131	7748552328.00716	7910177247.96456	8172885609.74466	8627341128.44563	9254692529.47675
8088249249.97564	8280338638.94303	8603399995.72314	9091258984.79045	9748201180.44147	10570079966.5814	11405864892.9565
7950310665.02121	7961474660.28488	8090206255.05595	8249893597.66744	8468318342.87705	8753082758.99641	9104243856.30253
7709348549.12143	7862206020.41213	8043128521.69910	8210233171.34931	8429497750.22490	8910426993.86726	9617847169.94408
8479270051.74662	8699993096.23248	8961363855.31068	9326264250.97350	9902445041.55176	10687568454.0725	11449286582.8069
